id,part_ja,plate,quantity,x_mm,y_mm,z_mm,solid_PLA_g_NOT_slicer_mass,previously_supplied,file
d20_long_-1_-1_1_lower,上側D20カーボン管クランプ 下半分,1,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_-1_-1_1_lower_mm.stl
d20_long_-1_-1_1_upper,上側D20カーボン管クランプ 上半分,2,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_-1_-1_1_upper_mm.stl
d20_long_-1_1_1_lower,上側D20カーボン管クランプ 下半分,4,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_-1_1_1_lower_mm.stl
d20_long_-1_1_1_upper,上側D20カーボン管クランプ 上半分,4,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_-1_1_1_upper_mm.stl
d20_long_1_-1_1_lower,上側D20カーボン管クランプ 下半分,3,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_1_-1_1_lower_mm.stl
d20_long_1_-1_1_upper,上側D20カーボン管クランプ 上半分,3,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_1_-1_1_upper_mm.stl
d20_long_1_1_1_lower,上側D20カーボン管クランプ 下半分,3,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_1_1_1_lower_mm.stl
d20_long_1_1_1_upper,上側D20カーボン管クランプ 上半分,1,1,40.961,22.0,12.75,8.8286,False,individual_parts/d20_long_1_1_1_upper_mm.stl
FL_hip_joint_part,左前 股リンク,1,1,55.994,102.0,78.0,54.0751,True,individual_parts/FL_hip_joint_part_mm.stl
FL_thigh_front_collar,左前 腿側カラー,2,1,56.0,67.961,6.0,11.0425,True,individual_parts/FL_thigh_front_collar_mm.stl
FL_thigh_joint_part,左前 腿リンク,3,1,66.0,163.98,75.0,87.0706,True,individual_parts/FL_thigh_joint_part_mm.stl
FL_calf_front_collar,左前 脛側カラー,4,1,56.0,67.961,6.0,11.0425,True,individual_parts/FL_calf_front_collar_mm.stl
FL_calf_joint_part,左前 脛リンク,3,1,31.999,122.0,53.0,63.7332,True,individual_parts/FL_calf_joint_part_mm.stl
FR_hip_joint_part,右前 股リンク,1,1,55.994,102.0,78.0,54.0671,False,individual_parts/FR_hip_joint_part_mm.stl
FR_thigh_front_collar,右前 腿側カラー,3,1,56.0,67.961,6.0,11.0425,False,individual_parts/FR_thigh_front_collar_mm.stl
FR_thigh_joint_part,右前 腿リンク,1,1,66.0,163.98,75.0,87.0706,False,individual_parts/FR_thigh_joint_part_mm.stl
FR_calf_front_collar,右前 脛側カラー,4,1,56.0,67.961,6.0,11.0425,False,individual_parts/FR_calf_front_collar_mm.stl
FR_calf_joint_part,右前 脛リンク,3,1,31.999,122.0,53.0,63.7332,False,individual_parts/FR_calf_joint_part_mm.stl
RL_hip_joint_part,左後 股リンク,4,1,55.994,102.0,78.0,54.0671,False,individual_parts/RL_hip_joint_part_mm.stl
RL_thigh_front_collar,左後 腿側カラー,1,1,56.0,67.961,6.0,11.0425,False,individual_parts/RL_thigh_front_collar_mm.stl
RL_thigh_joint_part,左後 腿リンク,3,1,66.0,163.98,75.0,87.0706,False,individual_parts/RL_thigh_joint_part_mm.stl
RL_calf_front_collar,左後 脛側カラー,4,1,56.0,67.961,6.0,11.0425,False,individual_parts/RL_calf_front_collar_mm.stl
RL_calf_joint_part,左後 脛リンク,2,1,31.999,122.0,53.0,63.7332,False,individual_parts/RL_calf_joint_part_mm.stl
RR_hip_joint_part,右後 股リンク,2,1,55.994,102.0,78.0,54.0751,False,individual_parts/RR_hip_joint_part_mm.stl
RR_thigh_front_collar,右後 腿側カラー,1,1,56.0,67.961,6.0,11.0425,False,individual_parts/RR_thigh_front_collar_mm.stl
RR_thigh_joint_part,右後 腿リンク,2,1,66.0,163.98,75.0,87.0706,False,individual_parts/RR_thigh_joint_part_mm.stl
RR_calf_front_collar,右後 脛側カラー,2,1,56.0,67.961,6.0,11.0425,False,individual_parts/RR_calf_front_collar_mm.stl
RR_calf_joint_part,右後 脛リンク,4,1,31.999,122.0,53.0,63.7332,False,individual_parts/RR_calf_joint_part_mm.stl
